Species_Code;Species_Name;French_Name;Order;Family;Category;Species_Code_SAMM;SS_Group_OWFSOMM;Group_OWFSOMM;Color
ANPLA;Anas platyrhynchos;Canard colvert;Anseriformes;Anatides;ESPECE OISEAU;ANAPLA;Anatid;Anatid;#fdffb6
TATAD;Tadorna tadorna;Tadorne de Belon;Anseriformes;Anatides;ESPECE OISEAU;TADTAD;Anatid;Anatid;#fdffb6
ANASPP;Anas spp;Canard sp;Anseriformes;Anatides;GENRE OISEAU;ANASPP;Anatid;Anatid;#fdffb6
ANANS;Anser anser;Oie cendree;Anseriformes;Anatides;ESPECE OISEAU;ANSANS;Anatid;Anatid;#fdffb6
ANSSPP;Anser spp;Oie sp;Anseriformes;Anatides;GENRE OISEAU;ANSSPP;Anatid;Anatid;#fdffb6
AYFXM;Aythya fuligula/marila;Fuligule morillon/milouinan;Anseriformes;Anatides;ESPECE OISEAU;AYFXM;Anatid;Anatid;#fdffb6
SOMOL;Somateria mollissima;Eider a duvet;Anseriformes;Anatides;ESPECE OISEAU;SOMMOL;Anatid;Anatid;#fdffb6
BRBER;Branta bernicla;Bernache cravant;Anseriformes;Anatides;ESPECE OISEAU;BRABER;Anatid;Anatid;#fdffb6
BRLEU;Branta leucopsis;Bernache nonnette;Anseriformes;Anatides;ESPECE OISEAU;BRALEU;Anatid;Anatid;#fdffb6
MELFXN;Melanitta fusca/nigra;Macreuse brune/noire;Anseriformes;Anatides;GENRE OISEAU;MELFXN;Anatid;Anatid;#fdffb6
MENIG;Melanitta nigra;Macreuse noire;Anseriformes;Anatides;ESPECE OISEAU;MELNIG;Anatid;Anatid;#fdffb6
MEMER;Mergus merganser;Harle bievre;Anseriformes;Anatides;ESPECE OISEAU;MERMER;Anatid;Anatid;#fdffb6
MELSPP;Melanitta sp;Macreuse sp;Anseriformes;Anatides;GENRE OISEAU;MELSPP;Anatid;Anatid;#fdffb6
MESER;Mergus serrator;Harle huppe;Anseriformes;Anatides;ESPECE OISEAU;MERSER;Anatid;Anatid;#fdffb6
CYOLO;Cygnus olor;Cygne tubercule;Anseriformes;Anatides;ESPECE OISEAU;CYGOLO;Anatid;Anatid;#fdffb6
MERSPP;Mergus spp;Harles spp;Anseriformes;Anatides;ESPECE OISEAU;MERSPP;Anatid;Anatid;#fdffb6
ALTOR;Alca torda;Pingouin torda;Charadriiformes;Alcides;ESPECE OISEAU;ALCTOR;Auk;Auk;#bf0603
ALCURI;Alca torda/Uria aalge;Pingouin torda/Guillemot de Troil;Charadriiformes;Alcides;GENRE OISEAU;ALCURI;Auk;Auk;#bf0603
ALCSPP;Alcidae spp;Alcide sp;Charadriiformes;Alcides;GENRE OISEAU;ALCSPP;Auk;Auk;#bf0603
FRARC;Fratercula arctica;Macareux moine;Charadriiformes;Alcides;ESPECE OISEAU;FRAARC;Auk;Auk;#bf0603
URAAL;Uria aalge;Guillemot de Troil;Charadriiformes;Alcides;ESPECE OISEAU;URIAAL;Auk;Auk;#bf0603
CETSPP;Cetacea;Cetace sp;Cetacea;NA;MAMMIFERE MARIN;CETSPP;Cetacean;Cetacean;#81c3d7
